"Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States, 2019—2022"
"Year","Male","Female"
" 2019"," 8.7"," 10.3"
" 2020"," 8.7"," 10.5"
" 2021"," 9.0"," 10.5"
" 2022"," 8.6"," 10.4"

"Standard errors for percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States, 2019—2022"
"Year","Male","Female"
" 2019"," 8.1, 9.2"," 9.7, 10.8"
" 2020"," 8.2, 9.2"," 10.0, 11.0"
" 2021"," 8.5, 9.5"," 10.0, 11.0"
" 2022"," 8.1, 9.2"," 9.9, 11.0"

"Source: National Center for Health Statistics, National Health Interview Survey"
