"Percentage of taking prescription medication for feelings of depression for adults aged 18 and over (95% confidence intervals), United States, 2019—2022"
"Year","Male","Female"
" 2019"," 6.1"," 13.3"
" 2020"," 6.4"," 13.9"
" 2021"," 7.0"," 13.9"
" 2022"," 7.6"," 15.2"

"Standard errors for percentage of taking prescription medication for feelings of depression for adults aged 18 and over (95% confidence intervals), United States, 2019—2022"
"Year","Male","Female"
" 2019"," 5.7, 6.6"," 12.7, 14.0"
" 2020"," 5.9, 6.9"," 13.2, 14.6"
" 2021"," 6.5, 7.5"," 13.3, 14.6"
" 2022"," 7.1, 8.2"," 14.5, 15.9"

"Source: National Center for Health Statistics, National Health Interview Survey"
