"Title: Breast Cancer Incidence Rate per 100,000 Women | KFF"
"Timeframe: 2019"
"Location","Breast Cancer Rate"
"United States","129.7"
"Alabama","127.2"
"Alaska","131.3"
"Arizona","112.9"
"Arkansas","128.8"
"California","124.7"
"Colorado","131.1"
"Connecticut","142.5"
"Delaware","147.2"
"District of Columbia","125.3"
"Florida","123"
"Georgia","129"
"Hawaii","140.5"
"Idaho","127.8"
"Illinois","134.7"
"Indiana","118.3"
"Iowa","138.1"
"Kansas","132.9"
"Kentucky","130.6"
"Louisiana","128.6"
"Maine","133.8"
"Maryland","139.2"
"Massachusetts","137.7"
"Michigan","123.9"
"Minnesota","134"
"Mississippi","126.7"
"Missouri","136.4"
"Montana","135.2"
"Nebraska","129.6"
"Nevada","N/A"
"New Hampshire","139.6"
"New Jersey","142.7"
"New Mexico","124.3"
"New York","141.2"
"North Carolina","138.1"
"North Dakota","137.2"
"Ohio","131.2"
"Oklahoma","120.1"
"Oregon","134.7"
"Pennsylvania","130.6"
"Rhode Island","144.7"
"South Carolina","132"
"South Dakota","126.6"
"Tennessee","121.2"
"Texas","122.4"
"Utah","118.5"
"Vermont","139.2"
"Virginia","128.2"
"Washington","132.5"
"West Virginia","127"
"Wisconsin","138"
"Wyoming","114.9"

"Notes"
"Incidence data are compiled from cancer registries meeting U.S. Cancer Statistics data quality criteria covering 100% of the U.S. population. For more information, see U.S. Cancer Statistics Data Visualizations Tool [Technical Notes](https://www.cdc.gov/cancer/uscs/technical_notes/index.htm)."
""
"Rates are per 100,000 women and are age-adjusted to the 2000 U.S. standard population."

"Sources"
"KFF analysis of United States Cancer Statistics - Incidence: 1999 - 2019, WONDER Online Database. United States Department of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute; 2022. Accessed at [https://wonder.cdc.gov/cancer-v2019.HTML](https://wonder.cdc.gov/cancer-v2018.HTML) on April 28, 2023."


